item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,region
갓,216,갓(1kg),0,상품,4,1kg,당일 (10/29),"4,500",1일전 (10/28),"3,830",1주일전 (10/22),-,2주일전 (10/15),-,1개월전,-,1년전,-,일평년,"3,731",2024-10-29,전주
갓,216,갓(1kg),0,상품,4,1kg,당일 (10/30),"4,000",1일전 (10/29),"4,500",1주일전 (10/23),-,2주일전 (10/16),-,1개월전,-,1년전,-,일평년,"3,731",2024-10-30,전주
갓,216,갓(1kg),0,상품,4,1kg,당일 (01/01),-,1일전 (12/31),-,1주일전 (12/25),-,2주일전 (12/18),"4,000",1개월전,"5,878",1년전,-,일평년,"3,822",2024-01-01,
갓,216,갓(1kg),0,상품,4,1kg,당일 (01/02),"4,000",1일전 (01/01),-,1주일전 (12/26),"4,000",2주일전 (12/19),"4,000",1개월전,"5,878",1년전,-,일평년,"3,822",2024-01-02,
갓,216,갓(1kg),0,상품,4,1kg,당일 (01/03),"3,750",1일전 (01/02),"4,000",1주일전 (12/27),"4,000",2주일전 (12/20),"4,000",1개월전,"5,878",1년전,-,일평년,"3,822",2024-01-03,
갓,216,갓(1kg),0,상품,4,1kg,당일 (01/04),"4,000",1일전 (01/03),"3,750",1주일전 (12/28),"3,750",2주일전 (12/21),"4,000",1개월전,"5,878",1년전,-,일평년,"3,822",2024-01-04,
갓,216,갓(1kg),0,상품,4,1kg,당일 (01/05),-,1일전 (01/04),"4,000",1주일전 (12/29),"3,500",2주일전 (12/22),"4,000",1개월전,"5,878",1년전,-,일평년,"3,822",2024-01-05,
갓,216,갓(1kg),0,상품,4,1kg,당일 (01/09),-,1일전 (01/08),-,1주일전 (01/02),"4,000",2주일전 (12/26),"4,000",1개월전,"5,878",1년전,-,일평년,"3,822",2024-01-09,
갓,216,갓(1kg),0,상품,4,1kg,당일 (01/10),-,1일전 (01/09),-,1주일전 (01/03),"3,750",2주일전 (12/27),"4,000",1개월전,"5,878",1년전,-,일평년,"3,822",2024-01-10,
갓,216,갓(1kg),0,상품,4,1kg,당일 (01/11),-,1일전 (01/10),-,1주일전 (01/04),"4,000",2주일전 (12/28),"3,750",1개월전,"5,750",1년전,-,일평년,"3,961",2024-01-11,
